"mes","ano","total_acidentes","acidentes_fatais","percentual_fatal","total_mortos","total_feridos"
"01","2025","5528","359","6.49","418","6915"
"02","2025","5287","362","6.85","412","5974"
"03","2025","5960","402","6.74","462","6784"
"04","2025","5786","414","7.16","495","6678"
"05","2025","6096","504","8.27","574","6834"
"06","2025","6122","457","7.46","528","6920"
"07","2025","6238","456","7.31","536","7129"
"08","2025","6246","472","7.56","554","7006"
"09","2025","6017","438","7.28","500","6876"
"10","2025","6252","422","6.75","494","7231"
"11","2025","6209","444","7.15","498","7103"
"12","2025","6788","480","7.07","572","8100"
