"uf","br","total_acidentes","acidentes_fatais","total_mortos","total_feridos","percentual_fatal"
"AC","0","3","0","0","3","0"
"AC","307","5","0","0","6","0"
"AC","317","52","11","11","47","21.15"
"AC","364","220","18","18","272","8.18"
"AL","101","254","29","31","266","11.42"
"AL","104","130","15","16","168","11.54"
"AL","110","1","0","0","1","0"
"AL","316","177","24","27","233","13.56"
"AL","416","13","6","6","11","46.15"
"AL","423","39","8","10","46","20.51"
"AL","424","15","4","6","15","26.67"
"AM","0","4","0","0","2","0"
"AM","174","73","8","9","86","10.96"
"AM","230","24","0","0","22","0"
"AM","317","1","1","1","0","100"
"AM","319","36","10","16","39","27.78"
"AP","0","1","0","0","0","0"
"AP","156","57","0","0","110","0"
"AP","210","111","9","14","150","8.11"
"BA","20","48","9","10","45","18.75"
"BA","30","4","2","2","3","50"
"BA","101","956","122","153","1193","12.76"
"BA","110","210","41","50","302","19.52"
"BA","116","1038","110","126","1183","10.6"
"BA","135","58","13","20","67","22.41"
"BA","235","76","14","16","87","18.42"
"BA","242","256","50","69","348","19.53"
"BA","324","942","56","63","1095","5.94"
"BA","330","49","6","6","68","12.24"
"BA","349","52","12","16","78","23.08"
"BA","367","137","3","5","161","2.19"
"BA","407","127","21","24","154","16.54"
"BA","410","26","2","2","50","7.69"
"BA","415","63","2","4","93","3.17"
"BA","418","37","5","7","55","13.51"
"BA","420","28","8","10","40","28.57"
"BA","430","1","0","0","1","0"
"CE","0","3","0","0","1","0"
"CE","20","132","15","15","139","11.36"
"CE","116","707","65","72","787","9.19"
"CE","122","2","0","0","3","0"
"CE","222","359","47","51","379","13.09"
"CE","226","7","4","5","10","57.14"
"CE","230","22","12","13","19","54.55"
"CE","304","51","2","3","65","3.92"
"CE","402","13","5","9","24","38.46"
"CE","403","6","3","3","2","50"
"DF","0","6","0","0","0","0"
"DF","20","348","10","10","405","2.87"
"DF","40","124","2","2","129","1.61"
"DF","60","121","8","9","113","6.61"
"DF","70","285","8","8","292","2.81"
"DF","80","68","9","11","71","13.24"
"DF","251","59","6","7","71","10.17"
"ES","0","7","0","0","1","0"
"ES","101","2084","112","123","2569","5.37"
"ES","259","123","7","9","165","5.69"
"ES","262","382","23","26","508","6.02"
"ES","393","37","1","1","43","2.7"
"ES","447","8","2","2","7","25"
"ES","484","1","0","0","1","0"
"GO","0","12","0","0","4","0"
"GO","20","170","21","34","201","12.35"
"GO","40","335","23","25","361","6.87"
"GO","50","159","10","14","168","6.29"
"GO","60","803","50","52","897","6.23"
"GO","70","210","25","28","241","11.9"
"GO","80","78","8","8","87","10.26"
"GO","153","973","66","91","1073","6.78"
"GO","158","41","5","7","47","12.2"
"GO","251","12","0","0","15","0"
"GO","364","137","12","15","164","8.76"
"GO","414","161","20","25","197","12.42"
"GO","452","105","7","9","102","6.67"
"MA","0","1","0","0","1","0"
"MA","10","221","40","46","223","18.1"
"MA","135","390","44","49","396","11.28"
"MA","222","152","36","46","149","23.68"
"MA","226","104","21","24","124","20.19"
"MA","230","119","22","24","118","18.49"
"MA","316","244","62","72","255","25.41"
"MA","330","5","3","9","6","60"
"MA","402","26","8","11","23","30.77"
"MG","0","8","0","0","6","0"
"MG","40","1972","123","153","2429","6.24"
"MG","50","592","28","28","615","4.73"
"MG","116","1412","104","124","1824","7.37"
"MG","146","55","3","3","74","5.45"
"MG","153","269","23","28","361","8.55"
"MG","251","271","35","51","374","12.92"
"MG","262","1095","90","101","1331","8.22"
"MG","265","2","0","0","1","0"
"MG","267","130","10","11","216","7.69"
"MG","354","96","2","2","121","2.08"
"MG","356","53","3","3","74","5.66"
"MG","364","45","2","2","48","4.44"
"MG","365","600","71","87","834","11.83"
"MG","381","2845","139","158","3524","4.89"
"MG","459","125","14","14","170","11.2"
"MS","0","3","0","0","0","0"
"MS","60","157","11","14","187","7.01"
"MS","158","133","15","15","134","11.28"
"MS","163","781","46","47","814","5.89"
"MS","262","285","34","41","290","11.93"
"MS","267","145","14","16","153","9.66"
"MS","359","6","1","1","12","16.67"
"MS","376","62","5","5","72","8.06"
"MS","419","11","1","1","13","9.09"
"MS","436","5","0","0","4","0"
"MS","463","60","8","8","68","13.33"
"MS","487","6","1","2","8","16.67"
"MT","0","3","0","0","2","0"
"MT","70","589","42","50","681","7.13"
"MT","158","119","23","25","124","19.33"
"MT","163","969","60","84","1042","6.19"
"MT","174","205","22","24","221","10.73"
"MT","242","1","0","0","0","0"
"MT","364","750","57","60","765","7.6"
"PA","0","12","0","0","9","0"
"PA","10","158","37","39","224","23.42"
"PA","153","8","4","4","10","50"
"PA","155","55","7","8","48","12.73"
"PA","158","1","0","0","0","0"
"PA","163","261","33","40","194","12.64"
"PA","222","37","13","21","38","35.14"
"PA","230","280","47","55","305","16.79"
"PA","308","34","10","10","41","29.41"
"PA","316","271","42","47","322","15.5"
"PB","0","5","0","0","6","0"
"PB","101","509","27","30","555","5.3"
"PB","104","169","17","18","176","10.06"
"PB","110","1","0","0","1","0"
"PB","116","11","0","0","17","0"
"PB","230","1191","65","75","1400","5.46"
"PB","361","36","5","6","48","13.89"
"PB","405","15","1","1","19","6.67"
"PB","412","28","10","10","46","35.71"
"PB","426","1","0","0","1","0"
"PB","427","12","2","2","15","16.67"
"PE","0","9","0","0","2","0"
"PE","101","1130","62","68","1213","5.49"
"PE","104","203","24","24","222","11.82"
"PE","110","15","2","2","22","13.33"
"PE","116","48","5","6","52","10.42"
"PE","232","830","99","105","964","11.93"
"PE","316","96","19","19","102","19.79"
"PE","407","119","9","9","120","7.56"
"PE","408","141","23","24","132","16.31"
"PE","423","144","32","49","183","22.22"
"PE","424","76","15","17","83","19.74"
"PE","428","202","12","13","253","5.94"
"PI","0","2","0","0","0","0"
"PI","20","1","0","0","1","0"
"PI","135","111","25","36","144","22.52"
"PI","222","33","10","10","28","30.3"
"PI","230","88","14","16","82","15.91"
"PI","235","4","1","1","5","25"
"PI","316","448","35","36","509","7.81"
"PI","343","742","47","51","854","6.33"
"PI","402","24","3","3","22","12.5"
"PI","407","37","14","15","44","37.84"
"PR","0","13","0","0","4","0"
"PR","116","1113","45","47","1186","4.04"
"PR","153","402","39","43","458","9.7"
"PR","158","99","9","12","104","9.09"
"PR","163","373","30","34","400","8.04"
"PR","272","53","8","12","66","15.09"
"PR","277","2157","134","152","2492","6.21"
"PR","280","22","2","2","33","9.09"
"PR","369","915","60","72","1102","6.56"
"PR","373","231","27","39","233","11.69"
"PR","376","1700","109","116","1846","6.41"
"PR","467","27","1","1","32","3.7"
"PR","469","55","0","0","57","0"
"PR","476","427","43","55","463","10.07"
"PR","487","43","4","8","61","9.3"
"RJ","0","23","0","0","10","0"
"RJ","40","1071","32","34","1264","2.99"
"RJ","101","2415","125","138","2987","5.18"
"RJ","116","1798","92","95","2015","5.12"
"RJ","354","6","0","0","10","0"
"RJ","356","142","7","8","195","4.93"
"RJ","393","320","25","28","437","7.81"
"RJ","465","250","4","4","283","1.6"
"RJ","485","2","0","0","1","0"
"RJ","493","369","21","23","422","5.69"
"RJ","495","32","0","0","35","0"
"RN","0","6","0","0","2","0"
"RN","101","705","23","25","838","3.26"
"RN","110","112","8","8","136","7.14"
"RN","226","177","16","21","210","9.04"
"RN","304","398","23","25","456","5.78"
"RN","405","82","21","21","72","25.61"
"RN","406","127","7","7","148","5.51"
"RN","427","40","4","4","39","10"
"RN","437","1","0","0","1","0"
"RO","0","4","0","0","3","0"
"RO","174","56","1","1","67","1.79"
"RO","319","128","4","4","126","3.13"
"RO","364","1112","64","78","1266","5.76"
"RO","421","23","1","1","29","4.35"
"RO","425","32","2","2","34","6.25"
"RO","429","28","6","7","33","21.43"
"RO","435","69","8","9","89","11.59"
"RR","0","1","0","0","0","0"
"RR","174","81","13","14","107","16.05"
"RR","210","1","1","1","0","100"
"RR","401","35","5","8","53","14.29"
"RR","431","1","0","0","0","0"
"RR","432","23","4","5","33","17.39"
"RS","0","17","0","0","4","0"
"RS","101","137","7","7","137","5.11"
"RS","116","1317","55","63","1357","4.18"
"RS","153","135","6","6","140","4.44"
"RS","158","255","19","22","275","7.45"
"RS","285","408","28","33","506","6.86"
"RS","287","120","9","10","129","7.5"
"RS","290","768","31","40","909","4.04"
"RS","293","110","10","16","145","9.09"
"RS","386","623","48","60","835","7.7"
"RS","392","364","20","26","379","5.49"
"RS","448","86","2","2","81","2.33"
"RS","468","45","5","7","68","11.11"
"RS","470","322","22","22","357","6.83"
"RS","471","81","5","5","102","6.17"
"RS","472","104","8","8","125","7.69"
"RS","480","7","0","0","4","0"
"SC","0","10","0","0","1","0"
"SC","101","4222","140","147","4619","3.32"
"SC","116","328","19","23","381","5.79"
"SC","153","71","7","10","83","9.86"
"SC","158","35","1","1","31","2.86"
"SC","163","135","4","5","153","2.96"
"SC","280","880","36","44","1070","4.09"
"SC","282","1379","82","100","1759","5.95"
"SC","285","2","0","0","3","0"
"SC","470","1066","82","101","1246","7.69"
"SC","480","58","3","3","54","5.17"
"SE","0","2","0","0","0","0"
"SE","101","346","29","30","348","8.38"
